Count,Filename_0_1,Filename_0_0,Time_0_1,Time_0_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,force,PIP,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
0,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000000_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000000_0.tif,2421.083032,2421.083349,0.001514,0.002290,0.000528,-0.000458,-0.023135,-0.004073,-0.003416,-0.003416,0.001514,0.002290,0.000528,-0.000458,-0.023135,-0.004073,-0.003416,-0.003416
1,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000001_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000001_0.tif,4037.691380,4037.691685,0.001514,0.000152,0.003486,0.005787,-0.010975,0.010717,0.011045,0.011045,0.001514,0.000152,0.003486,0.005787,-0.010975,0.010717,0.011045,0.011045
2,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000002_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000002_0.tif,4039.891315,4039.891629,0.001186,0.000152,0.003158,0.005458,-0.012289,0.008745,0.009731,0.009402,0.001186,0.000152,0.003158,0.005458,-0.012289,0.008745,0.009731,0.009402
3,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000003_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000003_0.tif,4041.691391,4041.691613,0.001514,0.001139,0.002829,0.004143,-0.013933,0.007430,0.007759,0.007759,0.001514,0.001139,0.002829,0.004143,-0.013933,0.007430,0.007759,0.007759
4,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000004_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000004_0.tif,4043.491358,4043.491627,0.001843,0.002125,0.003158,0.004143,-0.014261,0.006444,0.006444,0.007101,0.001843,0.002125,0.003158,0.004143,-0.014261,0.006444,0.006444,0.007101
5,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000005_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000005_0.tif,4045.291328,4045.291627,0.001186,0.001303,0.003815,0.005787,-0.011961,0.007759,0.006444,0.005458,0.001186,0.001303,0.003815,0.005787,-0.011961,0.007759,0.006444,0.005458
6,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000006_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000006_0.tif,4048.491392,4048.491647,0.001186,0.001303,0.002172,0.002500,-0.017548,0.001514,0.001186,-0.000458,0.001186,0.001303,0.002172,0.002500,-0.017548,0.001514,0.001186,-0.000458
7,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000007_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000007_0.tif,4051.491429,4051.491715,0.001843,0.001961,0.001843,0.001843,-0.019191,-0.000129,-0.000786,-0.002430,0.001843,0.001961,0.001843,0.001843,-0.019191,-0.000129,-0.000786,-0.002430
8,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000008_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000008_0.tif,4053.091414,4053.091699,0.001514,0.002290,0.004801,0.005787,-0.015247,0.003158,0.001186,-0.001444,0.001514,0.002290,0.004801,0.005787,-0.015247,0.003158,0.001186,-0.001444
9,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000009_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000009_0.tif,4056.091304,4056.091657,0.001514,0.001796,0.001514,0.000857,-0.020506,-0.001444,-0.002101,-0.003416,0.001514,0.001796,0.001514,0.000857,-0.020506,-0.001444,-0.002101,-0.003416
